STATION,STATION_NAME,DATE,PRCP,SNOW,TMAX,TMIN
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150730,0,0,95,49
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150731,0,0,100,52
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150801,0,0,99,58
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150802,0,0,98,56
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150803,0,0,90,56
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150804,0,0,87,59
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150805,0,0,81,54
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150806,0,0,81,54
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150807,0,0,83,42
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150808,0,0,87,45
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150809,0.06,0,81,55
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150810,0,0,90,53
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150811,0,0,96,53
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150812,0,0,98,61
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150813,0.01,0,99,59
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150814,0,0,89,60
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150815,0,0,74,51
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150816,0,0,79,44
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150817,0,0,83,53
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150818,0,0,87,54
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150819,0,0,91,51
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150820,0,0,86,60
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150821,0,0,75,56
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150822,0,0,76,44
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150823,0,0,83,41
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150824,0,0,85,47
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150825,0,0,87,54
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150826,0,0,92,50
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150827,0,0,89,57
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150828,0,0,82,58
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150829,0.04,0,83,54
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150830,0.16,0,66,50
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150831,0,0,71,48
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150901,0,0,75,50
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150902,0,0,70,48
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150903,0,0,65,39
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150904,0.07,0,69,32
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150905,0.4,0,57,47
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150906,0.01,0,54,39
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20150907,0,0,63,39
